category,text
Positive , Thala endru sollada thalai nimirndhu nillada .. vanthudaruda en Thala ippa vangada kena.................
Mixed_feelings , Are u a virgin girls ??? Kani kazhiyama irukingala ???
Positive , Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa
Negative , All the best Karthi and Lokesh kanakaraaj
Positive , Romba naaluku Aparam thalaivar...  Sema massa pakurom..... Get rajinified... .....
Mixed_feelings , Indha aala ennadhan veruthaalum On screenla paakka solla indha aalu style la  vilundarom
Positive , Enna Mari veetuku Theriyama ippa trailer parkuravanga Yaravadhu irukeengala
Negative , Mavena edhavadhu haters irundha odi poiru kola kandula irukkaen padam paakama vidamataen
Positive , Elam girls um trailer ah patha maari movie ya kandipaa parungaa....
Mixed_feelings , 3ena da 300 spartan s BGm la varuthu
Mixed_feelings , I am Kamal Sir Fanzz but i like  2.0 trailer.... waiting fr 2.0 Movie
Mixed_feelings , Vetrimaran ithai thavira vera ethuvum theriyatha ora mathiri padam
Positive , Viswasam Teaser vartum Nama Side la Irnthu Oru Sambavam Panuvom
Positive , Intha padatha pathe aakanum Thalaivaa aaaaaa.........
Positive , Kris’s movie pola irukkunu yaarukkavadu feel aahircha
Negative , Viswasam trailer 7k like  1.4 m  like thala fans like tha trailer
Positive , Ada dei nama sambatha da dei
Mixed_feelings , Nvp voda recorda break pannanum solravanga..like pannunga
Positive , Movie pathutan semma mass a irukku.... music la vera leval
Positive , Marana mass thala I am waiting🦁🦁🦁🦁🦁🦁🦁
Positive , Intha Padathula Gethu Mass Kaatra Thalaya nadikala! Intha Padathula Intha Naatoda Indraiya Unmaiya Solra Ajith Kumar ah nadichirkaaru! #StopWomenAbuse
Positive , Vayase aagala pa.. ena effort chanceless.. 🤙
Positive , Thala yada dialogue delivery sema mass Vera level  goosebumps overloaded
Positive , Gommala vararuda ye thalaivar ippavea alluthuparu palapearuku parupuuu.....
Positive , Vaera level thala summa na podathiga mokka seenu eppa NAERKONDA PARVAI is coming soon
Positive , Vayasanalum unga style azhagum innum marala.... Thalaiva roxkzzzzzz
Positive , Matha actor la Vera level na Niii top level Thalaivaaa
Positive , Enna panna porom sweet sapda porom petta paraak
Negative , Dislike Pota Ealarum .... Lusu p___ 🤐
Positive , Vena padama release pannathinga pakka mudiyala
Positive , Thala bloods ellaarum oru like podunga
Mixed_feelings , Real Rajnikant or dupe ?? Amazingly young !!!
Positive , DEEPAVALI KU vera level Padam irukku !! Pakka !! KAITHI DEEPAVALI
Positive , aiyo #thala marana mass #thala love you so much #thala
Positive , Thla da . U1 bgm
Positive , Intha padampothu thalaya asaikka kooda mudiyathu
Positive , NKP 30 million views varum solravaga thala fans hit like button 2million like
not-Tamil , subscribe here enjoy ...gari maya ra sath dinu hola nogen
Mixed_feelings , Inga neraya arivalikalukku teaserkum trailer kum different theriyama vaitherichala koovitu irukkanga
Positive , Super super super super star rajini sri good.....
Negative , Mind blowing  Ipo paarunga therikka vitudalam
Mixed_feelings , Idhupola vetradhu kuthradhulam pls kaamikadhinga screen la... padatha paathuthaan paadhi samudhayam kedudhu.... all the best for the team....
Positive , Semma thala nee vera level nee onnaya paratta vaarthaiye illa fantastic thala
Positive , king of kollywood one & only Thala Thala Thala Thala Thala Thala Thala
Mixed_feelings , Marana masss thalaiva Hollywood deractor la vaya polaka poranugga
Positive , Thala mass! But court room perusa irundhurkalam.
not-Tamil , You kena tunggu lebih lama lagi... untuk tahu saya...
Negative , Idhu  padam da ommla enna padam da i saw 2 shows back to back vera level
Positive , Pakkaaa message pola...Thalaivaaa we are waiting
unknown_state , Thalapathy kku Evlo Massss irukka pootho #Thalapathy64  #Lokeshkanagaraj
Positive , Tamil nadimarke oru puthiya velluvilliakkumooo manju chechiudea puthiya entry
Positive , Nammaku tevaiyanada namma taan adichi vaanganum; Padipa mattum nammakitta irundu edutuka mudiyathu
Positive , Ennayya..namma makkal selvan padam trailerkke oru full thalapathy movie paatha alavukk appadiye silirpp kottuth..
Positive , Last dailog புரிஞ்சா inga like podunga
Negative , Super star is super star v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v v.v nice trailer I really love it
Negative , 1st unga thalaivara age ku thaguntha mathiri natikka sollunga appuram vijay ajith pathi peasalam
Negative , Naanum thalavar rasigan than enakku Akshaya Kumar performance than pudichi irukku ....thalavara dummy ah aakitanaga...ama vai illa ya
not-Tamil , You tube crash ho gaya kitna time ho gaya hai bhut sahi
Positive , Vera Level #SK Bro... Keep Going Huge..
Positive , Oruthar mela viswasatha katrathuku innorthara yen asinga paduthuringa
Positive , last dialague semma.... rasikanuku advice pannitaru thala super thala
Positive , Super pa... Thalapadhy rasigar saarba vaalthukal
Positive , Thala Ena Thala ketta mass ah irukiyae
Mixed_feelings , Thambi naanga 19 hourslaya 11M neenga yaaru da komali
Positive , Appo Kabalieee... Na Nerupuda  Eppo robot na chitti 2.O version
Positive , Waiting 1m likes and 15m views
Positive , Vayasu analum unga style um alagum innum ungala vitu pogala....old time rajni ah pakaramariye iruku...
unknown_state , Kaithi thane daw. Intha Diwali ku
Mixed_feelings , Ada aamaigala 1m like kooda varlaya aamai Ajith
Negative , Realy trailer marana massa iruku iam waiting petta
Positive , You're line line line ithu mari Neriya  Neriya Neriya Neriya padatthula irukum pola iam waiting
Positive , Simion sir enga irrukinga.  Sekiram vanga.
Positive , Wow 10  millóns views
Positive , Back to Back Super blockbuster Movies......... First   2.0   then Petta Rajnikanth is just Amaaaaaaazing
Positive , எத்தன HATTERS dislike pannunalum asuran movie kku award confirm by:PURE DHANUSH ANNA FAN
Positive , Dislike pannravan ratham kakkai saavan 🤣
Positive , தல i am waiting for nerkoonda paarvai
Positive , Vijay -vera vera vera vetakaran taan da venumm Ajith- nerya nerya nerya nerya ....nerya
Negative , Thala pathi thappaa cmnt panura kuchikari movanlaam odirunga
Positive , Dislike panavan oruthanuku poruthuruka maatan poogada ****************
Positive , Dei kadisiya style dance ah parunga da... Ayyo sema... Thalaiva cuteness charisma fight sequel banged comeback...
unknown_state , Darbat 50K COMMENT VARANUM 800K LIKE VARANUM VIEW 40 MILLION VARANUM
Negative , Shaktiman madri next comedy punda aga poren sakadai kelavan
Positive , Thalaya screen LA parka Yarellam Marana waiting comment pannunga thala rathangale ‍‍‍‍‍‍‍
Positive , Vada Chennai - jaygiromo illayo motha sanda seiyanum Asuran - namaku theva yanatha nambha tha adichi vanganum
unknown_state , Wow trailer marana waiting Diwali ku
Positive , Entha trailer best nu Pakalam  Like : Asuran   Cmnt: Kaapan
Positive , Comments parka vandha padika vandha nanba nanbigal like pannitu pooga
Positive , Thala thaan eppavume ennudaya role maadal
Positive , @0.38 it's SuperStar Rajini not Rajni... Spelling mistake !!
Positive , Remake of pink movie ah... Apdiye eduthurukeenga... Oru dialogue kooda maarama... But fight scene extra va...
Negative , Neraya neraya neraya atha yarkanave nerachi poitha iruku inum yathuku kaekura iva mutta  punda
Positive , Eduthu vainga Da adutha Oscar ah ASURAN Ku.
Mixed_feelings , I miss you ishwarya rai madam
Positive , Mass  Dhanush  manju  vetri
Positive , Thalaivaaaaaaa.......  Ungaluku vayase aaakathu. Nee mattum thaa Thlaiva mass. Massuke Boss.
Positive , THALA 6O ku aavathu atleast pre announcement pannunga
Positive , Aptilam nadakkathu nadakka kudathu fire on eyes thala
Negative , Amam eppa puthu trailer poduvingo. .. 1960 mgr kala thu padama. .. Re release panna poran gala. ..
Positive , Oruthar mela viswasam kaatradhukaga aduthavangala edhuku asinga paduthuringa...sema thala....love from thalapathy fanzzzzz
unknown_state , Entha padathalaum vivazya pirachana solraga pola oh my God
Positive , Kaithi ye evlo mass ah iruku na  Thalapathy 64?
Mixed_feelings , adra sakka... thalaivaa ... marana mass.. adi thool.... Petta Pongal...... Petta Parrakk.....
Positive , Maranam Mass Uh maranam Tough Tharanum Athukku Avan Thaaan poranthu Varanum
Positive , 1:55 for some #THALA & #THALAPATHY fans
Positive , Please make thalapathy 64 like kaithi visuals
Positive , Nothing to say ....just goosebumps #thalarasigai
Positive , Mass mass nu soli pavam fight ill lathe padathu la kuda fight varawaychitaga....
Positive , 1:38 to 1:50 yenna swag pa thala. Thala pola varuma ? FDFS from Karnataka.
Positive , Enada tamil cinema eduka sonna Hollywood cinema eduthu vachirkinga
Positive ," Saavaratha irunthalum sanda pottu saaganum, bayanthu kaalla vizhunthu saaga kudathu. #Tharam"
not-Tamil , మొబైల్స్ మాత్రమే అలా హఠాత్తుగా మాయం అవడం ప్రేక్షకుల మనసులోకి నొప్పేలా లేదు.ఈ విషయంలో మెస్మరైజ్ మిస్సయ్యింది.
Positive , Sethu anna Voice  Thalaivar Entry   Kolla Gaandu la irukan Epo varum oh nu
Positive , Marana mass thalaiva   Ungalukku innu vayasu agale
Positive , Intha padam kantippa win pannum but rajinikaga illa Shankar kaga  avaroda talent kaga ...
Positive , Oru oru scenum goosebumps ahh iruku petta parak🤘🤘like podunga trailer pathu goosebumps anuvanga
unknown_state , Vijaya vallu movies teesthunnaraa inkaa wow
Positive , #NerKondaPaarvai superb Thala pesura yella dialogues kum avar kan simtave ella vera level acting
Negative , petta movie atta flop old man sotta boy
Mixed_feelings , Ena Da bomma Padam eduthu vachirukeenga
Positive , Semma vera level . Like hits
Positive , pink movie in hindi .final dialouge superrrr.
Positive , chinna pulla thanamaala irukku graphics! XD XD
Positive , Rajini sir telugu fans hit a like here ? Rajinified
Positive ," O my God superstar Rajinikanth, navajuddin siddiki, vijay setupati , what else needed"
Positive , Marvel paruppu thanni+DC uppu+tamil masala + kick kadugu + krissh vengayam thakkali = hero sambar
Positive , Bayama irukku I except more but I feel sad :(
unknown_state , Sethupathi kaga wait panravangalam Kai thoongunga
Positive , TAMIL MOVIE 2.O  KING IN INDIA   WONDER  SUPER STAR AN  SANKAR'S MASS MOVIE
Positive , 1st day 1st show poravanga like potuttu ponga
Positive , Sprb shradha srinath done a good job
Mixed_feelings , Ennoda phone ah yaaralum control panna mudiyadhu... Akshay Kumar ah tension aayiduvan idhu hang aguradha paathu...
Positive , Rajini kanth. Fans hit like here
Negative , Kola gaadula iruka... Thalaivaaaaaaaa waiting layea veri aaguthey
Negative , Get... Ready..sk. Force.. Part 2. Part 3. Varavaipomaaaaaa...
Positive , Omg .. use head phones Enna bgm da saami ..
Mixed_feelings , Petta  uthikum visvasam hit agum
Positive , ENPT release agalanu kavala illa aurathanamana Asuran varuthu adhu pothum...
Mixed_feelings , Those VFX Nalla illa daaaw guys.. Idhu trailer dhaan maa Main picture is coming  #2.0 #Marana_Mass
Positive , vera level thala  u r rock
Negative , Lokesh kanagaraj movie naalae.... English Rap....Song vandurum
Positive , What a trailer ya vera level la iruku...yow karthi subburaj pinnida ya awesome awesome
Positive , Thalada all India  Thala kottai
Mixed_feelings , Indha Kalatholo Siva Karthikeyan Nadike Mudiyadhu
Negative , Evano indha video ku dislike button amuka vandhurundha odiru 🤣 kolaa kaandu la irukan kollama vida matan
Mixed_feelings , Mujhe kuch samajh sirf VFX tu achh hai hai Lekin utna dam nahi jitna zero ka trailer me hai
Positive , Title card bgm vara level nu soluravuga like pl
Positive , Rijini sir nadichirukaru Rompa nalaiku piragu.. sema treatuuuuu
Mixed_feelings , Thala nkp kaga wait panravan like panunga
Positive , Climax la judge kathiyeh heart attack shethuduvaaraah
not-Tamil , Samajh mai kuch  nahii aaya bas ajeet sir k liye poora trailer dekha
Negative , Mokka palaya film sayal niraya irukku....
Positive , Mokka ah irukkum nu confirn pannittenga
Positive , 12hours 5m view s  600k like s NKP
Positive , Thala   U1  Bgm
Positive , Surya thambi karthi poii karthi oda anna tha surya airuchuu
Positive , Now you are lying lying lying. Thala mass
Positive , Namaku thevayanathu nammatha adichi vaanganum...  masssssssss
Positive ," Deepawali kala katta pothu, bigil, kaithi, sanga thamizhan"
Positive , Common thala fans 1m likes varanum
Positive , Yeppo million like aagum nu pakka wait pannittu irruka .
Positive , That Bike is a Modified Duke 200
Positive , Last dialogue semma...🥰🥰 Thala Tucker doi...
Mixed_feelings , Abhay deol
Positive , thala veriyans. Maddum oru like poddu vidunga bro.
Mixed_feelings , Starting Looks like king liar Malayalam movie
unknown_state , Good morning Guys  Kaalaila Ezhunthathum Trailer Paakka Vanthavangala Like Podunga
Positive , Enna Da views ivlo kammiya iruku romba nerama
Mixed_feelings , Dai mokka vetri Mara unaku yethrathamanna kathaiyee eduka theriyatha!?
Positive , Ethir paartha alavu ila .. sadness
Positive , Sema... Thala merattal.... Movie eppo paaka poromnu romba aarvama irukku... Thala...
Positive , Ena ipa Trending la varuthu thalaivar eh
Negative , Karthi annaaaa vera level acting
Positive ," National award ah , askar ah ?/... Dhanush fanz like"
Negative , Padam peru #Sangathamizhan Producer yaru na #BharathiREDDY :/  What an irony!
Positive , Anirudh bgmmmmmm Bang bang bang  Petttaaaa paaaraaaaaak
Positive , Inga Rajini ya pathi mattum comment pannunga nan Vijay sethupathika papen aniruthuka Papen apdina adichu underwearoda oda vituven....Thalaivar forever
unknown_state , Viswasam Jan 14 thaane? Clash aavathu ninaikkiren.
Positive , Trailer la Vidya Balan missing.... Why?
Mixed_feelings , Sangar.... Sangar ra etha movie direct pannala
Positive ," I think sivakarthickku hero getup set aagala, trailer is good,but movie average pogumnu ninaikiravanga like Pannuga"
Positive , Ajith sir 🤩   T H A L A
Positive , Arjun sir looking very smart and handsome....
Positive , Attention THALA fans ........INDHA padam BLOCK BUSTER AAguradhukkuu neega dhaan THEATer Ku poooi THALAi Ku  PERIYA flex(katout) VAIKANUMMM
Negative , 20 times ku mela pathavanga like podunga
Positive , I am big for illaya super star DHANUSH
unknown_state ," Simran ,Rajinikanth & Vijay Sethupathi"
not-Tamil , lagta hai main doreman ka cartoon dekh raha hoon
Positive , i phone vs android nu ninaikiren
Positive , Trailer la nallathan da irukku padam mokkaiya illama iruntha sari
Positive , Innoru  Vakkil  Rangaraj pandey dhana avaru
unknown_state ," Ini jenmathhuku meethane, hydrocarbon pathhi nenachi kooda paaka mudiyaadhu corporates.. Ela padamum ini adhapathi daan.."
Positive , Thala seekirom theatre ku Va Thala ennala wait panna mudiyala
Positive , Marana mass... Ungaluku vayasu aanalum andha style apadiye iruku thalaivaaaaaaa
not-Tamil , U kena tunggu lebih lama lagi  untuk tahu saya   Kita sedang menunggu untuk CHiYaN
not-Tamil , You kena tunggu lebih lama lagi untuk tau saya
Positive , Kamala kalasa en thlaivan dance mass ah
Negative , sakthimaan sollidu thovaikira kallulanthu kila vilunthu adipattavanka like pannuga ( 5 thaiyal enaku )
Positive , Thala Da i love u thala
Positive , super super super  super star.
Positive , Mmmm 1000 times this video see
