Dialogue_Act,Utterance
SUGGEST,und ich hätte Zeit schon am achten neunten April gleich am Anfang des Monats
BACKCHANNEL,mhm
REJECT,da bin ich schon anderweitig
INFORM,wir brauchen zwei Tage um die Firma zu besichtigen denke ich
SUGGEST,und ich hätte Zeit schon am achten neunten April gleich am Anfang des Monats
BACKCHANNEL,mhm
REJECT,da bin ich schon anderweitig
REJECT,das fällt bei mir flach
SUGGEST,und ich hätte Zeit schon am achten neunten April gleich am Anfang des Monats
BACKCHANNEL,mhm
REJECT,da bin ich schon anderweitig
REJECT,das fällt bei mir flach
BACKCHANNEL,mhm mhm mhm
BACKCHANNEL,mhm
REJECT,da bin ich schon anderweitig
REJECT,das fällt bei mir flach
BACKCHANNEL,mhm mhm mhm
REQUEST_SUGGEST,<hm> hätten Sie einen Vorschlag
ACCEPT,ja
BACKCHANNEL,mhm
SUGGEST,ja wäre mir achter neunter lieber wenn das bei Ihnen ginge
ACCEPT,meinetwegen kein Problem
FEEDBACK_POSITIVE,aha aha aha wunderbar
BACKCHANNEL,mhm
SUGGEST,ja wäre mir achter neunter lieber wenn das bei Ihnen ginge
ACCEPT,meinetwegen kein Problem
FEEDBACK_POSITIVE,aha aha aha wunderbar
INIT,wie wollen wir denn anreisen
SUGGEST,ja wäre mir achter neunter lieber wenn das bei Ihnen ginge
ACCEPT,meinetwegen kein Problem
FEEDBACK_POSITIVE,aha aha aha wunderbar
INIT,wie wollen wir denn anreisen
NOT_CLASSIFIABLE,<%>
ACCEPT,meinetwegen kein Problem
FEEDBACK_POSITIVE,aha aha aha wunderbar
INIT,wie wollen wir denn anreisen
NOT_CLASSIFIABLE,<%>
CONFIRM,also nehmen wir erst mal den achten und neunten fest
FEEDBACK_POSITIVE,aha aha aha wunderbar
INIT,wie wollen wir denn anreisen
NOT_CLASSIFIABLE,<%>
CONFIRM,also nehmen wir erst mal den achten und neunten fest
SUGGEST,und Anreise würde ich sagen das günstigste Verkehrsmittel wäre für uns das Flugzeug
INIT,wie wollen wir denn anreisen
NOT_CLASSIFIABLE,<%>
CONFIRM,also nehmen wir erst mal den achten und neunten fest
SUGGEST,und Anreise würde ich sagen das günstigste Verkehrsmittel wäre für uns das Flugzeug
ACCEPT,ja
BACKCHANNEL,mhm
INFORM,dann sind wir in etwa siebzig Minuten Flugzeig Flugzeit da sind wir da
SUGGEST,und am nächsten Tag nehmen wir den letzten Flug von Hannover zurück
SUGGEST,einundzwanzig Uhr fünfunddreißig
ACCEPT,gut
INFORM,dann sind wir in etwa siebzig Minuten Flugzeig Flugzeit da sind wir da
SUGGEST,und am nächsten Tag nehmen wir den letzten Flug von Hannover zurück
SUGGEST,einundzwanzig Uhr fünfunddreißig
ACCEPT,gut
SUGGEST,könnten wir eine Stunde früher vielleicht zurück
SUGGEST,und am nächsten Tag nehmen wir den letzten Flug von Hannover zurück
SUGGEST,einundzwanzig Uhr fünfunddreißig
ACCEPT,gut
SUGGEST,könnten wir eine Stunde früher vielleicht zurück
GIVE_REASON,weil ich hätte dann no muß mit meiner Frau dann noch zum Essen gehen am Abend
SUGGEST,einundzwanzig Uhr fünfunddreißig
ACCEPT,gut
SUGGEST,könnten wir eine Stunde früher vielleicht zurück
GIVE_REASON,weil ich hätte dann no muß mit meiner Frau dann noch zum Essen gehen am Abend
INFORM,das wäre ganz praktisch
ACCEPT,gut
SUGGEST,könnten wir eine Stunde früher vielleicht zurück
GIVE_REASON,weil ich hätte dann no muß mit meiner Frau dann noch zum Essen gehen am Abend
INFORM,das wäre ganz praktisch
ACCEPT,das wäre kein Problem
SUGGEST,könnten wir eine Stunde früher vielleicht zurück
GIVE_REASON,weil ich hätte dann no muß mit meiner Frau dann noch zum Essen gehen am Abend
INFORM,das wäre ganz praktisch
ACCEPT,das wäre kein Problem
SUGGEST,wunderbar dann nehmen wir doch den um zwanzig Uhr fünfunddreißig
GIVE_REASON,weil ich hätte dann no muß mit meiner Frau dann noch zum Essen gehen am Abend
INFORM,das wäre ganz praktisch
ACCEPT,das wäre kein Problem
SUGGEST,wunderbar dann nehmen wir doch den um zwanzig Uhr fünfunddreißig
ACCEPT,gut auch recht
INFORM,das wäre ganz praktisch
ACCEPT,das wäre kein Problem
SUGGEST,wunderbar dann nehmen wir doch den um zwanzig Uhr fünfunddreißig
ACCEPT,gut auch recht
REQUEST_COMMIT,dann wollen Sie den buchen oder ich
ACCEPT,das wäre kein Problem
SUGGEST,wunderbar dann nehmen wir doch den um zwanzig Uhr fünfunddreißig
ACCEPT,gut auch recht
REQUEST_COMMIT,dann wollen Sie den buchen oder ich
COMMIT,ich buche den
SUGGEST,wunderbar dann nehmen wir doch den um zwanzig Uhr fünfunddreißig
ACCEPT,gut auch recht
REQUEST_COMMIT,dann wollen Sie den buchen oder ich
COMMIT,ich buche den
COMMIT,ich sage meiner Sekretärin Bescheid sie soll ihn buchen
ACCEPT,gut auch recht
REQUEST_COMMIT,dann wollen Sie den buchen oder ich
COMMIT,ich buche den
COMMIT,ich sage meiner Sekretärin Bescheid sie soll ihn buchen
CONFIRM,dann sagen wir am achten hin am neunten zurück
REQUEST_COMMIT,dann wollen Sie den buchen oder ich
COMMIT,ich buche den
COMMIT,ich sage meiner Sekretärin Bescheid sie soll ihn buchen
CONFIRM,dann sagen wir am achten hin am neunten zurück
SUGGEST,und sehen uns dann direkt am Flughafen denke ich
COMMIT,ich buche den
COMMIT,ich sage meiner Sekretärin Bescheid sie soll ihn buchen
CONFIRM,dann sagen wir am achten hin am neunten zurück
SUGGEST,und sehen uns dann direkt am Flughafen denke ich
FEEDBACK_POSITIVE,gut
COMMIT,ich sage meiner Sekretärin Bescheid sie soll ihn buchen
CONFIRM,dann sagen wir am achten hin am neunten zurück
SUGGEST,und sehen uns dann direkt am Flughafen denke ich
FEEDBACK_POSITIVE,gut
ACCEPT,einverstanden
CONFIRM,dann sagen wir am achten hin am neunten zurück
SUGGEST,und sehen uns dann direkt am Flughafen denke ich
FEEDBACK_POSITIVE,gut
ACCEPT,einverstanden
FEEDBACK_POSITIVE,gut wunderbar
SUGGEST,und sehen uns dann direkt am Flughafen denke ich
FEEDBACK_POSITIVE,gut
ACCEPT,einverstanden
FEEDBACK_POSITIVE,gut wunderbar
BYE,auf Wiederschauen Herr Mengele
FEEDBACK_POSITIVE,gut
ACCEPT,einverstanden
FEEDBACK_POSITIVE,gut wunderbar
BYE,auf Wiederschauen Herr Mengele
CLOSE,das war es
ACCEPT,einverstanden
FEEDBACK_POSITIVE,gut wunderbar
BYE,auf Wiederschauen Herr Mengele
CLOSE,das war es
BYE,Wiederschauen Herr Keller
REQUEST_SUGGEST,wann hätten Sie denn Zeit
EXCLUDE,also bei mir schaut das im Februar eigentlich recht schlecht aus
SUGGEST,ich würde v vielleicht Anfang März vorschlagen
NOT_CLASSIFIABLE,wie schaut es
SUGGEST,ja <häs> da ginge es bei mir sehr gut am sechsten siebten oder auch achten März
EXCLUDE,also bei mir schaut das im Februar eigentlich recht schlecht aus
SUGGEST,ich würde v vielleicht Anfang März vorschlagen
NOT_CLASSIFIABLE,wie schaut es
SUGGEST,ja <häs> da ginge es bei mir sehr gut am sechsten siebten oder auch achten März
ACCEPT,ja das würde bei mir auch sehr gut passen
SUGGEST,ich würde v vielleicht Anfang März vorschlagen
NOT_CLASSIFIABLE,wie schaut es
SUGGEST,ja <häs> da ginge es bei mir sehr gut am sechsten siebten oder auch achten März
ACCEPT,ja das würde bei mir auch sehr gut passen
FEEDBACK_POSITIVE,ja wunderbar
NOT_CLASSIFIABLE,wie schaut es
SUGGEST,ja <häs> da ginge es bei mir sehr gut am sechsten siebten oder auch achten März
ACCEPT,ja das würde bei mir auch sehr gut passen
FEEDBACK_POSITIVE,ja wunderbar
SUGGEST,dann machen wir das Wochenende und da es nur eineinhalb Tage sind sollen wir Freitag Samstag machen
SUGGEST,ja <häs> da ginge es bei mir sehr gut am sechsten siebten oder auch achten März
ACCEPT,ja das würde bei mir auch sehr gut passen
FEEDBACK_POSITIVE,ja wunderbar
SUGGEST,dann machen wir das Wochenende und da es nur eineinhalb Tage sind sollen wir Freitag Samstag machen
ACCEPT,ja ist mir recht
ACCEPT,ja das würde bei mir auch sehr gut passen
FEEDBACK_POSITIVE,ja wunderbar
SUGGEST,dann machen wir das Wochenende und da es nur eineinhalb Tage sind sollen wir Freitag Samstag machen
ACCEPT,ja ist mir recht
FEEDBACK_POSITIVE,wunderbar
FEEDBACK_POSITIVE,ja wunderbar
SUGGEST,dann machen wir das Wochenende und da es nur eineinhalb Tage sind sollen wir Freitag Samstag machen
ACCEPT,ja ist mir recht
FEEDBACK_POSITIVE,wunderbar
INIT,und mit welchem ja wie sollen wir hinkommen
SUGGEST,dann machen wir das Wochenende und da es nur eineinhalb Tage sind sollen wir Freitag Samstag machen
ACCEPT,ja ist mir recht
FEEDBACK_POSITIVE,wunderbar
INIT,und mit welchem ja wie sollen wir hinkommen
REQUEST_SUGGEST,sollen wir mit dem Zug fahren mit dem Flugzeug Privat-$P-$K-$W
ACCEPT,ja ist mir recht
FEEDBACK_POSITIVE,wunderbar
INIT,und mit welchem ja wie sollen wir hinkommen
REQUEST_SUGGEST,sollen wir mit dem Zug fahren mit dem Flugzeug Privat-$P-$K-$W
INFORM,also ich habe mich hier schon für Zugverbindungen und Flüge erkundigt
FEEDBACK_POSITIVE,wunderbar
INIT,und mit welchem ja wie sollen wir hinkommen
REQUEST_SUGGEST,sollen wir mit dem Zug fahren mit dem Flugzeug Privat-$P-$K-$W
INFORM,also ich habe mich hier schon für Zugverbindungen und Flüge erkundigt
SUGGEST,und ich weiß nicht ich hätte ehrlich gesagt eine Zugverbindung lieber
INIT,und mit welchem ja wie sollen wir hinkommen
REQUEST_SUGGEST,sollen wir mit dem Zug fahren mit dem Flugzeug Privat-$P-$K-$W
INFORM,also ich habe mich hier schon für Zugverbindungen und Flüge erkundigt
SUGGEST,und ich weiß nicht ich hätte ehrlich gesagt eine Zugverbindung lieber
ACCEPT,ja ich auch
REQUEST_SUGGEST,sollen wir mit dem Zug fahren mit dem Flugzeug Privat-$P-$K-$W
INFORM,also ich habe mich hier schon für Zugverbindungen und Flüge erkundigt
SUGGEST,und ich weiß nicht ich hätte ehrlich gesagt eine Zugverbindung lieber
ACCEPT,ja ich auch
ACCEPT,das paßt mir wunderbar
INFORM,ja wir würden dann viereinhalb Stunden fahren
SUGGEST,also mir wäre es auch recht wenn wir erst dann so um acht oder um neun Uhr fahren würden
ACCEPT,ja wunderbar
CONFIRM,dann machen wir doch neun Uhr in der Früh
INFORM,dann sind wir so gegen Mittag dann in Hannover
SUGGEST,also mir wäre es auch recht wenn wir erst dann so um acht oder um neun Uhr fahren würden
ACCEPT,ja wunderbar
CONFIRM,dann machen wir doch neun Uhr in der Früh
INFORM,dann sind wir so gegen Mittag dann in Hannover
FEEDBACK_POSITIVE,das paßt
ACCEPT,ja wunderbar
CONFIRM,dann machen wir doch neun Uhr in der Früh
INFORM,dann sind wir so gegen Mittag dann in Hannover
FEEDBACK_POSITIVE,das paßt
FEEDBACK_POSITIVE,schön
CONFIRM,dann machen wir doch neun Uhr in der Früh
INFORM,dann sind wir so gegen Mittag dann in Hannover
FEEDBACK_POSITIVE,das paßt
FEEDBACK_POSITIVE,schön
INIT,ja dann bleibt eigentlich nur noch die Hotelreservierung
INFORM,dann sind wir so gegen Mittag dann in Hannover
FEEDBACK_POSITIVE,das paßt
FEEDBACK_POSITIVE,schön
INIT,ja dann bleibt eigentlich nur noch die Hotelreservierung
INFORM,<ähm> ich habe mich da schon erkundigt und da stehen uns drei Hotels zur Auswahl in Hannover
FEEDBACK_POSITIVE,das paßt
FEEDBACK_POSITIVE,schön
INIT,ja dann bleibt eigentlich nur noch die Hotelreservierung
INFORM,<ähm> ich habe mich da schon erkundigt und da stehen uns drei Hotels zur Auswahl in Hannover
SUGGEST,das Hotel Matinin Maritim Entschuldigung
FEEDBACK_POSITIVE,schön
INIT,ja dann bleibt eigentlich nur noch die Hotelreservierung
INFORM,<ähm> ich habe mich da schon erkundigt und da stehen uns drei Hotels zur Auswahl in Hannover
SUGGEST,das Hotel Matinin Maritim Entschuldigung
INFORM,das ist ziemlich in der Nähe vom Zentrum
INIT,ja dann bleibt eigentlich nur noch die Hotelreservierung
INFORM,<ähm> ich habe mich da schon erkundigt und da stehen uns drei Hotels zur Auswahl in Hannover
SUGGEST,das Hotel Matinin Maritim Entschuldigung
INFORM,das ist ziemlich in der Nähe vom Zentrum
SUGGEST,dann das Hotel Luisenhof
INFORM,<ähm> ich habe mich da schon erkundigt und da stehen uns drei Hotels zur Auswahl in Hannover
SUGGEST,das Hotel Matinin Maritim Entschuldigung
INFORM,das ist ziemlich in der Nähe vom Zentrum
SUGGEST,dann das Hotel Luisenhof
INFORM,<ähm> ist in der Nähe vom Hauptbahnhof
SUGGEST,das Hotel Matinin Maritim Entschuldigung
INFORM,das ist ziemlich in der Nähe vom Zentrum
SUGGEST,dann das Hotel Luisenhof
INFORM,<ähm> ist in der Nähe vom Hauptbahnhof
SUGGEST,und das Hotel Loccumer-Hof
INFORM,das ist ziemlich in der Nähe vom Zentrum
SUGGEST,dann das Hotel Luisenhof
INFORM,<ähm> ist in der Nähe vom Hauptbahnhof
SUGGEST,und das Hotel Loccumer-Hof
INFORM,ja da ist wohl der Vorteil daß es ein Schwimmbad hat
SUGGEST,dann das Hotel Luisenhof
INFORM,<ähm> ist in der Nähe vom Hauptbahnhof
SUGGEST,und das Hotel Loccumer-Hof
INFORM,ja da ist wohl der Vorteil daß es ein Schwimmbad hat
SUGGEST,ich weiß nicht ich fände dieses Hotel Luisenhof ganz gut
INFORM,<ähm> ist in der Nähe vom Hauptbahnhof
SUGGEST,und das Hotel Loccumer-Hof
INFORM,ja da ist wohl der Vorteil daß es ein Schwimmbad hat
SUGGEST,ich weiß nicht ich fände dieses Hotel Luisenhof ganz gut
GIVE_REASON,wenn wir mit dem Zug ankommen dann haben wir echt nicht weit <äh> zu dem Hotel vom Hauptbahnhof
SUGGEST,und das Hotel Loccumer-Hof
INFORM,ja da ist wohl der Vorteil daß es ein Schwimmbad hat
SUGGEST,ich weiß nicht ich fände dieses Hotel Luisenhof ganz gut
GIVE_REASON,wenn wir mit dem Zug ankommen dann haben wir echt nicht weit <äh> zu dem Hotel vom Hauptbahnhof
ACCEPT,ja das hört sich gut an
INFORM,ja da ist wohl der Vorteil daß es ein Schwimmbad hat
SUGGEST,ich weiß nicht ich fände dieses Hotel Luisenhof ganz gut
GIVE_REASON,wenn wir mit dem Zug ankommen dann haben wir echt nicht weit <äh> zu dem Hotel vom Hauptbahnhof
ACCEPT,ja das hört sich gut an
INFORM,ist auch von einer Preise her das günstigste genau
SUGGEST,ich weiß nicht ich fände dieses Hotel Luisenhof ganz gut
GIVE_REASON,wenn wir mit dem Zug ankommen dann haben wir echt nicht weit <äh> zu dem Hotel vom Hauptbahnhof
ACCEPT,ja das hört sich gut an
INFORM,ist auch von einer Preise her das günstigste genau
FEEDBACK_POSITIVE,gut
GIVE_REASON,wenn wir mit dem Zug ankommen dann haben wir echt nicht weit <äh> zu dem Hotel vom Hauptbahnhof
ACCEPT,ja das hört sich gut an
INFORM,ist auch von einer Preise her das günstigste genau
FEEDBACK_POSITIVE,gut
OFFER,soll ich dann mit dem Hotel da dann die Buchung vereinbaren
ACCEPT,ja das hört sich gut an
INFORM,ist auch von einer Preise her das günstigste genau
FEEDBACK_POSITIVE,gut
OFFER,soll ich dann mit dem Hotel da dann die Buchung vereinbaren
FEEDBACK_POSITIVE,ja das ist gut
INFORM,ist auch von einer Preise her das günstigste genau
FEEDBACK_POSITIVE,gut
OFFER,soll ich dann mit dem Hotel da dann die Buchung vereinbaren
FEEDBACK_POSITIVE,ja das ist gut
ACCEPT,das wäre toll
FEEDBACK_POSITIVE,gut
OFFER,soll ich dann mit dem Hotel da dann die Buchung vereinbaren
FEEDBACK_POSITIVE,ja das ist gut
ACCEPT,das wäre toll
COMMIT,dann kümmere ich mich um die Tickets
OFFER,soll ich dann mit dem Hotel da dann die Buchung vereinbaren
FEEDBACK_POSITIVE,ja das ist gut
ACCEPT,das wäre toll
COMMIT,dann kümmere ich mich um die Tickets
ACCEPT,wunderbar
FEEDBACK_POSITIVE,ja das ist gut
ACCEPT,das wäre toll
COMMIT,dann kümmere ich mich um die Tickets
ACCEPT,wunderbar
INIT,<äh> ja sollen wir dann an diesem Freitag abend irgendwie zusammen ausgehen Essen gehen
ACCEPT,das wäre toll
COMMIT,dann kümmere ich mich um die Tickets
ACCEPT,wunderbar
INIT,<äh> ja sollen wir dann an diesem Freitag abend irgendwie zusammen ausgehen Essen gehen
REQUEST_COMMENT,oder möchten Sie den allein verbringen
COMMIT,dann kümmere ich mich um die Tickets
ACCEPT,wunderbar
INIT,<äh> ja sollen wir dann an diesem Freitag abend irgendwie zusammen ausgehen Essen gehen
REQUEST_COMMENT,oder möchten Sie den allein verbringen
ACCEPT,also wir können auf alle Fälle was zusammen machen
ACCEPT,ja genau
DEFER,dann halten wir uns das einfach offen
DEFER,aber daß wir auf jeden Fall irgendwas gemeinsam organisieren noch
INFORM,aber da hat hat man jetzt auch noch Zeit
INFORM,ich meine jetzt ist erst Ende Dezember
DEFER,dann halten wir uns das einfach offen
DEFER,aber daß wir auf jeden Fall irgendwas gemeinsam organisieren noch
INFORM,aber da hat hat man jetzt auch noch Zeit
INFORM,ich meine jetzt ist erst Ende Dezember
CLOSE,gut haben wir das schon geklärt
DEFER,aber daß wir auf jeden Fall irgendwas gemeinsam organisieren noch
INFORM,aber da hat hat man jetzt auch noch Zeit
INFORM,ich meine jetzt ist erst Ende Dezember
CLOSE,gut haben wir das schon geklärt
FEEDBACK_POSITIVE,gut
INFORM,aber da hat hat man jetzt auch noch Zeit
INFORM,ich meine jetzt ist erst Ende Dezember
CLOSE,gut haben wir das schon geklärt
FEEDBACK_POSITIVE,gut
FEEDBACK_POSITIVE,schön
INFORM,ich meine jetzt ist erst Ende Dezember
CLOSE,gut haben wir das schon geklärt
FEEDBACK_POSITIVE,gut
FEEDBACK_POSITIVE,schön
POLITENESS_FORMULA,ja dann wünsche ich Ihnen noch einen schönen Tag
CLOSE,gut haben wir das schon geklärt
FEEDBACK_POSITIVE,gut
FEEDBACK_POSITIVE,schön
POLITENESS_FORMULA,ja dann wünsche ich Ihnen noch einen schönen Tag
BYE,Wiedersehen
FEEDBACK_POSITIVE,gut
FEEDBACK_POSITIVE,schön
POLITENESS_FORMULA,ja dann wünsche ich Ihnen noch einen schönen Tag
BYE,Wiedersehen
POLITENESS_FORMULA,ich Ihnen auch
FEEDBACK_POSITIVE,schön
POLITENESS_FORMULA,ja dann wünsche ich Ihnen noch einen schönen Tag
BYE,Wiedersehen
POLITENESS_FORMULA,ich Ihnen auch
BYE,Wiederhören
POLITENESS_FORMULA,guten Tag
POLITENESS_FORMULA,ja guten Tag
INTRODUCE,<äh> mein Name ist Starr
REQUEST,mit wem spreche ich bitte
INTRODUCE,mit Herrn Rohde Hannes Rohde
POLITENESS_FORMULA,ja guten Tag
INTRODUCE,<äh> mein Name ist Starr
REQUEST,mit wem spreche ich bitte
INTRODUCE,mit Herrn Rohde Hannes Rohde
INFORM,ah selbst am Apparat
INTRODUCE,<äh> mein Name ist Starr
REQUEST,mit wem spreche ich bitte
INTRODUCE,mit Herrn Rohde Hannes Rohde
INFORM,ah selbst am Apparat
INIT,<ähm> ich würde mich interessieren <ähm> für eine Reise nach Hannover und zwar geschäftlich
REQUEST,was könnten Sie mir denn da sagen
BACKCHANNEL,mhm
INIT,ja also erst mal zum Hotel
INFORM,da haben wir noch drei verschiedene Hotels die wir Ihnen anbieten können die noch Zimmer freihaben
BACKCHANNEL,mhm
BACKCHANNEL,mhm
INIT,ja also erst mal zum Hotel
INFORM,da haben wir noch drei verschiedene Hotels die wir Ihnen anbieten können die noch Zimmer freihaben
BACKCHANNEL,mhm
SUGGEST,das ist also einmal das Hotel Eden
INIT,ja also erst mal zum Hotel
INFORM,da haben wir noch drei verschiedene Hotels die wir Ihnen anbieten können die noch Zimmer freihaben
BACKCHANNEL,mhm
SUGGEST,das ist also einmal das Hotel Eden
INFORM,so etwas entfernt von der City also nicht ganz zentral aber dafür sehr billig
INFORM,da haben wir noch drei verschiedene Hotels die wir Ihnen anbieten können die noch Zimmer freihaben
BACKCHANNEL,mhm
SUGGEST,das ist also einmal das Hotel Eden
INFORM,so etwas entfernt von der City also nicht ganz zentral aber dafür sehr billig
SUGGEST,dann gibt es das Hotel Königshof
INFORM,und das kostet allerdings auch am meisten Geld
BACKCHANNEL,mhm
ACCEPT,ja ich denke ich werde mich dann für die mittlere Preisklasse entscheiden
GIVE_REASON,da das ja auch Konferenzraum hatte wie Sie sagten
REQUEST,und was war das andere
BACKCHANNEL,mhm
ACCEPT,ja ich denke ich werde mich dann für die mittlere Preisklasse entscheiden
GIVE_REASON,da das ja auch Konferenzraum hatte wie Sie sagten
REQUEST,und was war das andere
INFORM,ja ja Konferenzraum und das liegt in der City zentral also
ACCEPT,ja ich denke ich werde mich dann für die mittlere Preisklasse entscheiden
GIVE_REASON,da das ja auch Konferenzraum hatte wie Sie sagten
REQUEST,und was war das andere
INFORM,ja ja Konferenzraum und das liegt in der City zentral also
FEEDBACK_POSITIVE,ja das würde sich dann ja anbieten
GIVE_REASON,da das ja auch Konferenzraum hatte wie Sie sagten
REQUEST,und was war das andere
INFORM,ja ja Konferenzraum und das liegt in der City zentral also
FEEDBACK_POSITIVE,ja das würde sich dann ja anbieten
INFORM,dann kann man ja von da auch in die City sich mal ankucken
REQUEST,und was war das andere
INFORM,ja ja Konferenzraum und das liegt in der City zentral also
FEEDBACK_POSITIVE,ja das würde sich dann ja anbieten
INFORM,dann kann man ja von da auch in die City sich mal ankucken
NOT_CLASSIFIABLE,<ähm> ja <äh>
INFORM,ja ja Konferenzraum und das liegt in der City zentral also
FEEDBACK_POSITIVE,ja das würde sich dann ja anbieten
INFORM,dann kann man ja von da auch in die City sich mal ankucken
NOT_CLASSIFIABLE,<ähm> ja <äh>
INIT,ja wann <häs> wann möchten Sie denn genau reisen
FEEDBACK_POSITIVE,ja das würde sich dann ja anbieten
INFORM,dann kann man ja von da auch in die City sich mal ankucken
NOT_CLASSIFIABLE,<ähm> ja <äh>
INIT,ja wann <häs> wann möchten Sie denn genau reisen
REQUEST_SUGGEST,haben Sie irgendeinen Termin
INFORM,dann kann man ja von da auch in die City sich mal ankucken
NOT_CLASSIFIABLE,<ähm> ja <äh>
INIT,ja wann <häs> wann möchten Sie denn genau reisen
REQUEST_SUGGEST,haben Sie irgendeinen Termin
DELIBERATE,<hm> ich schaue grade auf meinen Kalender
NOT_CLASSIFIABLE,<ähm> ja <äh>
INIT,ja wann <häs> wann möchten Sie denn genau reisen
REQUEST_SUGGEST,haben Sie irgendeinen Termin
DELIBERATE,<hm> ich schaue grade auf meinen Kalender
SUGGEST,<ähm> in der zw dritten Februarwoche
INIT,ja wann <häs> wann möchten Sie denn genau reisen
REQUEST_SUGGEST,haben Sie irgendeinen Termin
DELIBERATE,<hm> ich schaue grade auf meinen Kalender
SUGGEST,<ähm> in der zw dritten Februarwoche
INFORM,würde es mir <%> direkt nach Karneval
REQUEST_SUGGEST,haben Sie irgendeinen Termin
DELIBERATE,<hm> ich schaue grade auf meinen Kalender
SUGGEST,<ähm> in der zw dritten Februarwoche
INFORM,würde es mir <%> direkt nach Karneval
SUGGEST,am sieb Mittwoch den siebzehnten
DELIBERATE,<hm> ich schaue grade auf meinen Kalender
SUGGEST,<ähm> in der zw dritten Februarwoche
INFORM,würde es mir <%> direkt nach Karneval
SUGGEST,am sieb Mittwoch den siebzehnten
CLARIFY,also Aschermittwoch müßte das sein
SUGGEST,<ähm> in der zw dritten Februarwoche
INFORM,würde es mir <%> direkt nach Karneval
SUGGEST,am sieb Mittwoch den siebzehnten
CLARIFY,also Aschermittwoch müßte das sein
SUGGEST,bis <äh> Freitag den neunzehnten eventuell bis Samstag
INFORM,würde es mir <%> direkt nach Karneval
SUGGEST,am sieb Mittwoch den siebzehnten
CLARIFY,also Aschermittwoch müßte das sein
SUGGEST,bis <äh> Freitag den neunzehnten eventuell bis Samstag
GIVE_REASON,je nachdem wie ich mit meiner Konferenz durchkomme
SUGGEST,am sieb Mittwoch den siebzehnten
CLARIFY,also Aschermittwoch müßte das sein
SUGGEST,bis <äh> Freitag den neunzehnten eventuell bis Samstag
GIVE_REASON,je nachdem wie ich mit meiner Konferenz durchkomme
BACKCHANNEL,mhm
CLARIFY,also Aschermittwoch müßte das sein
SUGGEST,bis <äh> Freitag den neunzehnten eventuell bis Samstag
GIVE_REASON,je nachdem wie ich mit meiner Konferenz durchkomme
BACKCHANNEL,mhm
ACCEPT,ja das ist gut
SUGGEST,bis <äh> Freitag den neunzehnten eventuell bis Samstag
GIVE_REASON,je nachdem wie ich mit meiner Konferenz durchkomme
BACKCHANNEL,mhm
ACCEPT,ja das ist gut
GIVE_REASON,nämlich da hat dieses Hotel Königshof auch noch Zimmer frei also das wäre kein Problem
GIVE_REASON,je nachdem wie ich mit meiner Konferenz durchkomme
BACKCHANNEL,mhm
ACCEPT,ja das ist gut
