category,text
Mixed_feelings , Ithenkilum oru HIT enkilum aayaal mathi.padachone adutha PADAKKAM aavalle
Positive , aaa last bhakam marana mass #mammookka
not-malayalam , Happy  Birthday  Mammookka
unknown_state , mammokka thug life mashup
Mixed_feelings , Big B 2 pole und
Positive , LALETTAAA MUTHEE POLICHU
unknown_state , Ee pennu evide poyaalum ithaanallo avastha..
Positive , Edhu kondu prethiraj neruthiyal Kollam
unknown_state , Ithipo kadha muzhuvan undalo ithilu ? ?
Positive , Mammotiyude look divasam kudunthorum kodi varikayannallo
unknown_state , Last black dress sredhichavar ivide like
Negative , Natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha
unknown_state , Padam pottum ennu urapulavarku evide like adikam
Positive , malayala sinimakkoru puthiya charithram pirakkatte !
Negative , Koora padam
not-malayalam , Superb trailer I have ever seen
not-malayalam , 3 millon views 208 k likes
Negative , Ennalum ente Idivettu suguna ninne ithilu kandillalo
not-malayalam , Which trailer you like more.  1. #Mamangam  2. #Panipat
not-malayalam , 1.33 - 1.40   mammuka rock's 🤘...
Positive , Oru  mikacha thriling movie aavum
Positive , Undakku shesham mammookayude adutha natural movie
Positive , Jayasurya chyuna a ella characters um pwoliya... Shaji pappen
Positive , Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum
unknown_state , apol ithu payyanmare padam aano rajuettan ikka onnum main ayittu ille ??
Positive , Ende ammo aa mundu madakki vechulla aa chavitt !!! . laletta.
unknown_state , YouTube struck ayoooo Views 172 k Like 162k Unlike 15k Laletaaaa
not-malayalam , K G F   DUBLE
Positive , Trailer I'll tannaayy full story uondu
Positive , Oru BIGB  feel....  ..aiivaaaaa.  Pwolichuu
Positive , Pinneyum pinneyum kaaaanunnavar like adi... Lalatten ishtam
unknown_state , Rajayude andhya kurbana chollan avan varunuu... #LUCIFER
Positive , Positive kittiyal pinne parayandallo.... Ettan fan aaya njan thanme kannu thalli poi bookings kandu
Positive , Annum ennum ennum ikka mass 🤩🥰
Positive , vere level trailer and bgm gopi sunder musical
Mixed_feelings , Padam irangiyittu  parayam mass ano class ano ennu?. Odiyan anubhavam kondu paranjatha
not-malayalam , PASSING OF THE CROWN 'TRAILER' 1 | KGF Malayalam | Ft. Mohanlal | Nivin Pauly
Positive , E masathew 28 enna date  nalathekakan pattuvoooo ..... pattillah allew.....wait chaiyanmm  ..
Positive , Jelli kettinte trailer bgm pole ind
unknown_state , 50 pathu pravasham kandavar adi like
Positive , E traileril ntha chekutan undo
not-malayalam , any one from nov 2 2k19
unknown_state , Adh suraj aanenn sound kett maathram kandpidichavar adi like..
not-malayalam , 17 k view 119 k like 12 k dislike... ???
unknown_state , mallu students canada arelum? like here
Positive , kalakki Kalakki. Onnum parayan illa
Positive , Oru saada nalla naatin purathe kada..athre ullu...aenike ishtta pettu.
unknown_state , L U C I F E R
unknown_state , Lucifer kaanan povunnathinu munpu trailer kaanan vannavar aarokke
Positive , Vere level of making nd lalettan was awesome
not-malayalam , raja solathu tha Saiva ....saivathu mattumtha Dolla..#ikka fans
unknown_state , M  A  M  A  N  G  A  M
not-malayalam , Looks like 2017 malyalam  movie  Y And  english movie Buried
Positive , Next Week china povan irikkana njan ithu kandeche njan povathullu
unknown_state , Dislike adichavarodu pucham maathram.. Lal fansine uddeshichu maathramanennu thettidarikallu ketto🤣
Mixed_feelings , peter hein nte stunt ella cinema il um ore pattern aanallo
unknown_state , Thuvanathumbikalile jayakrishnane orma vannavar like adi
unknown_state , Tovino ishtam Tovino fans like adi ആൻഡ് സപ്പോർട്ട് me
Positive , Ohoo mamooka powlikum ee jati tralier making kiduwee
unknown_state , Kalabahavan shajon laleetane chathikkum athe urappa trailer kandappo manasilayii
unknown_state , Chicking ile freezer il poyi nokkiya mathi aale kittum
Positive , Onnum parayanilla. Vere leval movie ayirikkum
unknown_state , Cinema kand kazhinjitt trailer kanan vannavarkk ivde like adichittu pokam
unknown_state , Lufier trailer kandu odiyan kandavar undo
Positive , Raju ettaaaa ningal Vera level
Positive , Ithoru onnonnara ITEM avumenn urappullavar LIKE ADI ലാലേട്ടൻ
Positive , Late aayi vannalum latest aayi varuvenne
not-malayalam , Woow woww wow
Negative , Lokal poyi Madhura raja teaser kanada
Positive , Oru marana mass chitramaavatte laleeta lucifer
Negative , Kuru potti olikknna 1k poojappura fans🤣🤣🤣
Positive , adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema
not-malayalam , 17 K views 102 K like  10K dislike
Positive , Mohanlal prithvi fans like adik lucifer bamber hit akum
Positive , Jayasurya mass after long time.podi pooram
Positive , Mammukka ningalau muthhaaa oru rakshayilaaa kikiduuu
unknown_state , Ettante lucifer 100 cr club kadakumm enn parayunnavar like adicheee
unknown_state , Laalettan fans only hit likes here
Negative , Kure per dislike adich kuru pottikkunnund
Negative , Dislike adechath alla punnara makkalum anta veral നമസ്കാരം
not-malayalam , Jagapathi Babu  a Telugu fan here.
not-malayalam , 2n part or kuch related kahani nxt hota acha lagta fans ko
Positive , Fight dialoge bgm oru rakshayum illa
unknown_state , 3 million   ettanum pillerum
Mixed_feelings , Ithu rajayude 3 strong Alla ettande Lucifer
Positive , E padathinte making ushar aanenu thonunu..  Trailer kanditt padam kandathokem thallipoli aayirnu.  But trailer pwolichu
Negative , Samyuktha vendayirunnu. :(  Aishu pwoli ann
Negative , Trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal
Negative , Dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu
Positive , JAI LUCIFER JAI LALETTAN JAI PRITHWI
Positive , Nalla punch ulla trailer mamooka Jai anusree shamna ellarkum bst of luck
unknown_state , MAMMOKKENTE ( BIG B2=BILAL )veranam ennu agraham ullavar undoo
Negative , Bro support koduthilenkilum dislike adikkathirunoode .
unknown_state , Aaa kochu edhaaa real fighter kannukalile theepori kidu
not-malayalam , You use bots for likes and views
unknown_state , swandam recordukal thanne thiruthunaa  nadan pulimuruganekal odane daivame
Positive , Suraj ettan fans fans like ivide
Positive , Eid usharakkanam ..Ithiri late ayalum nammal polikkum. Mammukka sa
not-malayalam , 3 * 2 strong............... Rajuvettaaaaa u nailed it
Positive , E padam hit akum enn urapullavar like adikan ulla sthalam🥰🥰🥰
Negative , ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya
unknown_state , Ee trailer kandapo KGF ormavanavar  adikk...
Positive , Ith oru onnonnara item aayrikkum
Positive , Njan mammoty fan Ann pakshe enikk ishtapettu
Negative , Pirates of carbien aarum kanditilananu mone ninte vicharam
unknown_state , Ravananaya avane nerkkuner illathakkan oru maha avatharam thanne vendi varum
Positive , Aa thodakathile august cinemas eenu title card varumbol olla bgm Pwoli
Positive , Ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale
unknown_state , japan ne kali aakan maathram nammal aayitilla suraj ettaa :/
Positive , im a katta lalettan fan....but ithu hit aaakanam..heavy
Positive , Katta vishayam oru rekshem illa etta fdfs
Negative , Dislike cheyunavanoke ethu naarikal aanenavo.... Chathude...   Kidukachi trailer vanetum dislike 1.1k Kashtam preshakare...
Positive , Oru dubbing padathinte trailer pole.  kidu
Positive , Myarakam ikka  Hollywood direction and visuals
not-malayalam , Mommookka mass entry....        By a lalettan bhakthan....
Positive , Ini kando... Adiude Ideude Vedi pooram......🧨🧨
unknown_state , Innu trailer'um
Positive , Aa kannukal mathram mathi a character depth mansilkan laletta.....
Positive , Trailer Oru rakshyum illa adi poli jayettan takarkkum
unknown_state , Dislike adichavarokke  ith okke kanditt engane dislike adikkaan saadhikunnu uvve
not-malayalam , Waiting  from  die hard rajuvetan fan..
Negative , Ee Padam Kolamavukayaanengil it will be because of Peter hein
Positive , Movide peru kandu dislike adikaan vannatha
Negative , Avalude name veykkunille avar lead cheyyunna film alle..
unknown_state , 6000 suscribe ulladhil itt 22k suscribe414kview 91k like aaaakiyya ikka mass
Positive , Kidu bgm for ikka kidu movie super
Positive , MAMMOOKKAAA....  NIGHAL MUTHAANU....Nighal kola maassalla...  kolaveri maasaanu.....
unknown_state , Ittimani film kandathinu shesham evide vannavar like adikku pinne replyum theru
Positive , Deleep atta padam orappu maga hit
Negative , ee padam 8 nilayil podannamennju prarthikunnju
Positive , Ikka i lv uuuuu big screen kandolan waitinggggg
unknown_state , Ee padam hit aakum ennu orappullavar enik oru 100 like taa
Mixed_feelings , trailer valare cheruthayipoyi mammoottyude mukham enkilum onnu kanikkamayirunnu
Negative , Ayye poraaa.... lalettan nu role ille??
Positive , Vineethangil adu supero super chodikanundo allea vineetheaaa
Positive , Fdfs vare wait cheyyan pattilla Ijjathi ittam Mamookka
Positive , Owf Poli......angane oru paad naal kazhinj oru Nalla cinima kanaan povnu
Positive , Enta ponno ikka kalakum van trailer
Positive , Entammo ikka powli powli ...heavy item
Negative , Ee trailer vachaaanooo luciferinodu muttaan varunnath
not-malayalam , Odiyan 2D Animated trailer
unknown_state , 16 k views  55 k likes
unknown_state , 11million aayo enn nokaan varunnavarundo ??
Positive , Ini aarkkum onnum parayaanillallooo Remember the Name: Laleettan
Positive , Inn ni8 full repeat adich kanan ponavar ivide like adicholu
Positive , Adipoliii movie..Suraj nta acting super ayiittodee....anike othiri ishtapatuuu..super movie
unknown_state , Edakku oru hollywood movie scene keri vanna pole ennikk mathramano thonniyath....?
unknown_state , Just 1min      etra per page il und
Positive , Mudi valarthi lalettan pazhya rajashilpi look thannee 0.51 il... super
Negative , Moood poyi mood poyi aa sabune kandappol mood poyi
Negative , Dislike adicha pullanmarude mugathulla adiyavatte oro likum
unknown_state , Ekka @ madhura Raja and lalettan @ Lucifer... 2 padam iragan pokuvane...oru tight competition prethishikkunnu
Positive , @02:19 Ee scene theatril polikkum .... Lalettta :):>3
Positive , njaghalu katta waiting aanu...nov 21 aavunnillallo ennoru pbm
Positive , Vivek oberoi best villan powli 🤩🤩🤩
unknown_state , E trailer 5 il kooduthal kandavar like
Positive , Kalathu ezhunnettu ee trailer kanumbol oru unmesham kittunnudu
Positive , Trailer oru rakshayum illa 3 vattam kandu  Not the point aarudeyum fan alla
Positive , Ambooo Roman ezunettu  EPIC loading
Positive , Powlii powlii...last dialogue comedy anenkilu kidlm tyming
Positive , Oru rakshayum illa ikka ingal yendhon manusyanaaa itihasam
Positive , Trailernu katta wait cheythirikkunna ethra aalundu ivide
unknown_state , Kashttamund!! Paavam chinnane enthina konne???Rakshapeduthi koodarunno?Minister Rajayil chinnane pratheekshikkunnu...  Chinnaraja fans adi like!!!
not-malayalam , Happy birthday  day my mammookka
Positive , oru rakshayum illlla. orappicho muruga ninte mukalilekkk oru asuravithinte idivettu entry kathninnooo 100 crore club  adichaaaaaach
unknown_state , Priya kuttoos nte teaser aayinankilu eppaze million views aavateenum
unknown_state , Aa last nadatham kanditt best actor orma vanna arelum undo..?
unknown_state , Ente ichayooo....  Athre parayunnulluuu.... Ennu manasil karuthiyavar hit like here.....
Negative , Police ill minimum  hight elle  Aju oke police
unknown_state , 500k enn paranjitt 410k ullollo real time views 🤣
unknown_state , Lalettane prathheeshich ithuvazhi vannavar like
Positive , Orika kanda veendum veendum kanan thonnum..
unknown_state , Stars nu pakaram Nalla cinema'ye support cheyyunavar adi like..
unknown_state , Haavu samadaanamaayi  Editor mahesh narayanan
Negative , Dislike cheydha thendigalk releasin kaanich therum nangal endhan mamangam enn
Positive , EyyaLu Nthu Manushana Oru Rakshayum Ella Kidu
unknown_state , Ee nanchakottayill arudeyuum kanneeroppaan vannathalla njan..pakshe karayikunnavante okeyuum thala njan adichu polikuum!
Positive , ikkante mugham illathe thanne super mugham koode kanichenkil enthavum avastha
Positive , Rajuvetta ningal mass annu.  Ammoo enna oru feel.  Laletta
Positive , Uff mwonr kinnam kaachya item
unknown_state , Appo nayakan mammukka alley.....e piller aaaana
Positive , madhura rajayum  usharavatte ...from a lalettan fan .
unknown_state , CHANDU vine orma vannavar ivde common
Mixed_feelings , Sambavam kollam but
Positive , Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam
Positive , Njan oru a10 fan aanu but ithu kollaam...... nammade ikka poliyaanuu..... all the best......
unknown_state , Please Upload moha mundiri video song
Positive , Ee padam kand chirich pandaram adangi
Negative , Trailer kandappo oru karym manasilayi eni mammooka fans luciferine velluvilikkilla
unknown_state , Trailer kandapol bahubali orthavar like adi
Positive , Hvy iteam
unknown_state , 212k views
Positive , Njan aashupatriyiloottu pookuvaa...ullla roomamellam roomanjichu parinju pooyi..baakki ulllathu pongithanna nikkuva..etttan maatana maaraka maasss*
Positive , Fight vere level teateril paper kure keerendi varum ichayoooo
Positive , Trailer vere level Anu makkale🤩🤩Mammookka uyir...   mamangam_november 21
Positive , Ethilum valiya masSs eni ella  Padam 100 crore loading
unknown_state , Cinima 2 aam vattam kanan paisa illanitt trailer veendum kanunnadh njn maathramano?
Mixed_feelings , E padathil elllavarum und but pottiyal ellam pogum....... Appurath Yama Dan kadha verunnund madhura raajayum Ethayalum all the best
unknown_state , mammookkayude scenes pause cheytu kandavar arokke undu
unknown_state , mammootty kazhinju vere oru nadan malayalathil illa karanam etavum last mammootty Anu
Negative , Pokiri Raja nte athra odulaa ee chithram eniku thonunnu....
Positive , Gopi sunderinte teaser bgm kaliyakkiyavarkkulla marupadi koodi
Positive , Eee oru movie കൊണ്ട്‌ mohanlal fan aakumennu തോനുന്നു katta waiting
Positive , 69 years old Megastar  Nammude Mammookkaa oreee poli mammookkaa
unknown_state , Releasinte aan thanne pokum ennu   Urappullavar adi like
not-malayalam , lalettan marana mass..intha movie bayangara hit adikkum...love from tamilnadu
Positive , Oru mass political- family blockbuster hit aakatteyenn aashamsikkunnu
Negative , Trailor kand 8 nilayil pottum enn thonunnu mumbathe pole tholvigal vaari kootan thudangunnu
Positive , Vineeth sreenivasan presents
not-malayalam , Unni Mukundan fans like here
Positive , Ikkaye kanan vendi mathram fdfs urapichavar like
Positive , Ente ikkkaaaa kola mass YouTube hang aanu makkale
not-malayalam , Gopi Sundar and ikka fan from malappuram
Negative , Dislike myrolikalk ulla kandam Madhurayil orukkiyittund enn parayan paranju....
unknown_state , yeshu das saarinte oru song ithil pratheekshikkaavo
Positive , 1 st day kazinju theatre bakki undayal mathiyayirunnu...lalettan
not-malayalam , #HAPPY BIRTHDAY   |  SULTHAN OF MALAYALAM CINEMA | #MAMMOOKKA
not-malayalam , 8hr 2 million viewers one name laletan ...n prithvy
Positive , Lucifer pola nalla oru padam avatte
unknown_state , 10M adikkum ennullavar aadhyam like onn adiche
Positive , Negative aayi onmilla   eattn polikm
unknown_state , Njan mathram ano padam kand വന്നു veendum trailer edth noki veendum padam kanan poyathangane പോയവര്‍ അടി like
unknown_state , 2013 drishyam 75 cr 2016 pulimurugan 150 cr 2019 Lucifer any guess???
Positive , Lastilathe punch kaanan mathram veendum vannavarundel chummathonnu njekkiyechum poike
not-malayalam , Nice
Positive , Pwlichu........... Ikkka pwlichu  മാസ്സ് പടം.. ... Hollywood cut..
Negative , Trailer erghunathinn munbb .kanathe dislike adichavanmaar verum verum..... Feeling pucham to u all
Positive , Ambooo  Ettan kidu acting  Raju Ettan poli making
Positive , onnum parayan Ila...mammokka polichu.... Thakarthuu.... 🤩🤩🤩🤩
Positive , Suraj ettan soubin ikka enn kelkkumbo thanne oru nalla cinema yude smell adikkunnund.waiting for releasing
Positive , Ejjati item ettan pwolikkum all the best raju etta
Positive , Ohhh my god... endhokke looks aanu...  onnum parayaanillaa... katta waiting lalettaa...
unknown_state , Madhuraraja teaser ethaanenkil trailer enthaayirikkum April kazhinjaal theater ok kaanumo aavo
not-malayalam , After 1M views & 150K likes
unknown_state , Sheriyaya views ano allengil youtube lalettan hang akkiyathano ennu samshyamullarkku like adikkanulla thumbu
Mixed_feelings , Enthonnadei ithu pulimurugan tamil remake a🤣🤣🤣
unknown_state , 10 million ayo ennu nokkan varunnavar like adi
Negative , Thalachorilla budhiyum illatha 11k aalkkar . Ninte okke thalakku ooolamanooo
unknown_state , Ella cinimakaludeyum trailer kanunathe habits aakkiyavarundo
Mixed_feelings , Trilar kanditt padam. Valiya pratheeksha illaa
Mixed_feelings , Wtng laletta...
Negative , Looks like netflix series oru film aayi coloring Mach aavunnilla
Positive , ooro secondum mmakkayude entrik vendi waiting aayirunnu
unknown_state , Mammookem Pillerum Ithil Polikkum Ennu Urapullavar Like Adich Pokko
Mixed_feelings , tovinok pakaram unni mukundan mathiyarunnu....
unknown_state , Panieduthittu padikkan verunnavante kayyude thazhambumkondonnu kittiyal mathi ....Pinne joraa
Mixed_feelings , Soundil  kurachukoodi  bass koodi  undayinnel kidilan
not-malayalam , Lalettaa & Rajuettaa go ahead
not-malayalam , Love you mammoookhaa.... Mammookha fans hit like
Positive , Lalettan faanan but ee trailer kidukki tto
Positive , Adipoli
Positive , Ipo 10 vattam kandu yennittum madhiyavunnilla romanjifikshan ikka
Positive , Padam polikunna thonnunne Soubin oru pradhibasam thanne Ambili kandit oru onnonnara fana ayi njn
Positive , Prathviraaj
unknown_state , Ravananaya avane NERKKUNER ILLATHAKKAN oru maha.....
Positive , Ithu polulla padam ikkanekkonde abhinayichu kanikkan pattu
not-malayalam , suraaj  looks like our kunjunni mash......
Positive , Padam kidilan ane oru rakshayumilla pakshe ithpole padam englishilum umd Robot And Frank enn pere athum pwoliyane
Negative , Veruthayayi kashu poyi pratheeshyode arum pokaruthe
Positive , Super mega hit aaayirikkum  mark
Positive , Aaaa mundum pookal shirtum vere arund ithra look
Positive , Trailer kidukki..film ith pole nannaya mathiyarnnu.
unknown_state , Njan maathramano comment nu like  kittiyo enn veendum veendum nokkunnath
Positive , Enta ponno ithu verae level Iove u ikka
unknown_state , Uff  ente ponoo wait chyan vayye ikka
unknown_state , Ajuvine kandale ariyam on negative role anenn pinne lift kanikkunond aval mikkavarum liftil kanum..
Positive , Korach adhikum award kude  undakendi verum enn toonna suraajettante acting kanumbo
unknown_state , Njan oru mohanlaal fana   Pakshe ith vallathore vishayam filim aaairikkkum
Positive , Wow..Maranamaas Trailer  Gopi Sundar bgm oru rakshemilla ttaa...Hit like if u watch FDFS
Mixed_feelings , Pulimurugam team alle athinta oru chaaya evdokkeyo ondIKKA SUPERMAN PUNCH PWLIYEE
not-malayalam , Super star rajini sir fans hit likes
not-malayalam , 0:15 aa musicinu vendi wait cheyyuva
unknown_state , Makkale onnum nokkanda ninghal vanna bakkam enna 1:54
unknown_state , Nayika liftil kudungunnu... Ellaarum oodi nadannu anveshikunnu....
Positive , Ith kidukkan aakum...  Eagerly waiting... lub you ikkaa from eattan fan...
Negative , 173k views and 173k likes bakki kore mammunni fans 18k
Negative , Mammookaye pole dailog eathu salgilum prasant cheyyan kazhiyillannu ippo eniku manasilaayi
not-malayalam , Hit like if you are lalettan's fan
Positive , Trailer kand  romanjam  Vanna ettan  fans like adikn
unknown_state , ithu oru 5 million views aakkanam..
not-malayalam , Mohanlal looks like as he was in jilla....
Negative , Thrissur slang paliyenn thonnunnath enikk mathramano?
unknown_state , America atom bomb itittu thirnilaaa pinaa allee bengalikal!!!!!
Positive , Onnum parayanilla pratheshakalkkapuram nammakku asvathikkan pattiya trailer  ethra pravisham kandittum mathiyaunnilla
Positive , Kidu trailer.  iniyulla Kali ikkayude pilleru nokkikolam triple strongode
Positive , Enik. Albudham sidiqane aan 1kodi bajat aayalum. 100 kodi bajatayalum sidiq athil. Kanum. Legend.
Negative , Lucifer trailer erangiya day million views vannapo sudappi makkal endho paranjarunnallo.ikkede trailer onnu vannottu ennu alle?ennittu bhayangara views ahnallo🤣🤣🤣
Negative , Padam pottum... Charithram akanamenkil marakkar varanam
Positive , Prithviraj. Nighal oru marana mass sambavam
not-malayalam , Kerala die hard mohanlal fans like here
Negative , Da mwone madhurajaedatreum varilla ketto .nte vaka ellarkum chukavandanam
unknown_state , Odiyan iruttinda raja   Enda ethra Kali kandittulladhaan ne    Odiyan odi odi odiyan
Positive , Katta waiting madura raja mammokka kidu mass
not-malayalam , Tamil Nadu Mohan lal fans hit like
Negative , Ikkakk..valla  mass padavum cheythude....ithorumaathiri senti...cop
Negative , pora
Negative , Koora Trailer jattimaanii padam pottum 100percent lalappaaaaa
Positive , Ente ponnnuuuuuuu Lalettaaa... baaki oke kili vannit parayam
unknown_state , Cinema iragiyittum view cheyyunnavar like adi
unknown_state , then : kanji adukkatte manikya       now : Kill that bastard    sivane! :/
Negative , Prithiraje than ee pani nirthiko enthon kopile padamado
Positive , Chandhuvineyum pazhashiyekalum mukalil nilkan pokunna oru muthal.. chandrothe ee vellyamamma..
Mixed_feelings , Maduraraja ikka okke trailer poora Pulimuraganil ninne kure cut eduthittiunde  Villan dadygirija same   Athe irutham
Positive , Cinema vizag kandu... Polichu ... Super duper hit
Negative , Onnpodaaa challenge inne undo 1 hour 50 k likes annn  madhara rajj kalikann venda
Positive , Poster kanditt feel good anenn karuthi kanathe vitu
Positive , Mammootty fans polum like adichu pokum adaru trailer
unknown_state , Lucifer onnil kooduthal thavana kandavar onnu like adikku ...
Positive , Havy havy super super kidu kidu 🤘🤘
Positive , Trailer oru rashilla kili poyi laletta poli anitta
Positive , Adhikarappeduthunna gadikaarame. Ithu gadikarangal nilakkunna nimisham. Indian cinemayude mugamudhra
Positive , Raja returnssss makkale....ithu marana mass padamaayirikkum
Positive , Oru poli polikum 21n ......pooram kanan chry abhinaya ......ang por
Positive , endhake paranjalu nammal malayalikalude chungukal lalettanu màmmukkayum thanneyanu laletta kkimamukka kki
unknown_state , Theriyumile
unknown_state , Oru BEST ACTOR feel enikk maatramaano adiche
Positive , Lalettante ittimanikk...njanga ikkayude piller vaka best of luck
unknown_state , Antony perumbavor undaya monemarayirikum dislike adikunath
Positive , Heavy trailer
Positive , Ente laletta onnum parayanilla ningal mass anu..  ningale pole ningale ullu
Negative , Police ne kuttam parayuna
Positive , kidu  katta waiting    mamamookkaaaa
unknown_state , Ittimani  mass ahnn manasuman
not-malayalam , Pls pls pls dub in hindi
unknown_state , Raavanaaya avane illamdakkan oru mahaa avatharam thanne vendi varum
Positive , Enter ettaaaaaaaa ohh onnum parayaan ellaaaaa
Positive , trailer powli aayi.cinemayum angane thanne aavum enn pratheekshikkunnu
unknown_state , Nanmayum nanmayum thammilalla yudhamThinmayum thinmayum thammilaa yudham
unknown_state , 7m subcribesundayittum 3.9m views 5m yethikku plz kandavar onnum kudi kaanuga
not-malayalam , Aathirapilli pls step back plz Mammookkaa..
Positive , Enna bodyaa mamooty iniyum oru 10 ankathinulla balyam undu.
Positive , Njan mathram aano sunny chechiyee kaanan vannath  Sunny chechi uyir
Mixed_feelings , Super trailer avasanathe idi super  But BGM pulimurugan copy
Positive , Ikkaa...  nigalu mass aanu...  pinnem pinnem irunna kanan thonnuvaa....
Positive , Neerali
Positive , Mammookka Nte Look Vere Level
Mixed_feelings , Etha sherikum Puli Murugan polla udaa
Negative , Dis like idunna mammuny fansukrude pratheka sradhkku.raajaye kaathu padakkathinte mahaniya shekram staginte baakil inddu sookshicha dukkkiknda
Positive , Muslingalk idayilum Xristhanikalk idayilum Hindukalk idayilum  Ivanu ore oru pereyyllu.....raja
not-malayalam , WE ARE WAITING FOR DERIC ABRAHAM
Positive , ikka dlg delivery oru rakshayumilla ... love uuuhhhhh ikkaaaaa
Positive , Nice...ikka mass   . All th bst #lalettan fan
unknown_state , Kerala puthya keralam ayrkum but bilal pazya bilal tahneee... ikka
